Country of Residence ,Region,Region 2
United Arab Emirates,MiddleEast-GCC,MEGCC
Afghanistan,Southern Asia,AustraliaAsia
Aland Islands,Northern Europe,Europe
Albania,Southern Europe,Europe
Algeria,Northern Africa,Africa
American Samoa,Australasia,AustraliaAsia
Andorra,Southern Europe,Europe
Angola,Middle Africa,Africa
Anguilla,Central America,Americas
Antigua & Barbuda,Central America,Americas
Argentina,South America,Americas
Armenia,Western Asia,AustraliaAsia
Aruba,Central America,Americas
Australia,Australasia,AustraliaAsia
Austria,Western Europe,Europe
Azerbaijan,Western Asia,AustraliaAsia
Bahamas,Central America,Americas
Bahrain,MiddleEast-GCC,MEGCC
Bangladesh,Southern Asia,AustraliaAsia
Barbados,Central America,Americas
Belarus,Eastern Europe,Europe
Belgium,Western Europe,Europe
Belize,Central America,Americas
Benin,Western Africa,Africa
Bermuda,Central America,Americas
Bhutan,Southern Asia,AustraliaAsia
Bolivia,South America,Americas
Bosnia And Herzegovina,Southern Europe,Europe
Botswana,Southern Africa,Africa
Bouvet Island,Northern Europe,Europe
Brazil,South America,Americas
British Indian Ocean Territory,Eastern Africa,Africa
Brunei,South-Eastern Asia,AustraliaAsia
Bulgaria,Eastern Europe,Europe
Burkina Faso,Western Africa,Africa
Burundi,Eastern Africa,Africa
Cambodia,South-Eastern Asia,AustraliaAsia
Cameroon,Middle Africa,Africa
Canada,Northern America,Americas
Cape Verde,Western Africa,Africa
Caribbean Netherlands,Western Europe,Europe
Cayman Islands,Central America,Americas
Central African Republic,Middle Africa,Africa
Chad,Middle Africa,Africa
Chagos Islands,Southern Asia,AustraliaAsia
Chile,South America,Americas
China,Eastern Asia,AustraliaAsia
Christmas Island,South-Eastern Asia,AustraliaAsia
Cocos (Keeling) Islands,South-Eastern Asia,AustraliaAsia
Colombia,South America,Americas
Comoros,Eastern Africa,Africa
"Congo, The Democratic Republic Of The",Middle Africa,Africa
Congo,Middle Africa,Africa
Cook Islands,Australasia,AustraliaAsia
Costa Rica,Central America,Americas
Cote d'Ivoire (Ivory Coast),Western Africa,Africa
Croatia,Southern Europe,Europe
Cuba,Central America,Americas
Curacao,Central America,Americas
Cyprus,Western Asia,AustraliaAsia
Czech Republic,Eastern Europe,Europe
Denmark,Northern Europe,Europe
Djibouti,Eastern Africa,Africa
Dominica,Central America,Americas
Dominican Republic,Central America,Americas
Ecuador,South America,Americas
Egypt,Northern Africa,Africa
El Salvador,Central America,Americas
Equatorial Guinea,Middle Africa,Africa
Eritrea,Eastern Africa,Africa
Estonia,Northern Europe,Europe
Ethiopia,Eastern Africa,Africa
Falkland Islands,South America,Americas
Faroe Islands,Northern Europe,Europe
Fiji,Australasia,AustraliaAsia
Finland,Northern Europe,Europe
France,Western Europe,Europe
French Guiana,South America,Americas
French Polynesia,Australasia,AustraliaAsia
French Southern Territories,Western Europe,Europe
Gabon,Middle Africa,Africa
Gambia,Western Africa,Africa
Georgia,Western Asia,AustraliaAsia
Germany,Western Europe,Europe
Ghana,Western Africa,Africa
Gibraltar,Southern Europe,Europe
Greece,Southern Europe,Europe
Greenland,Northern America,Americas
Grenada,Central America,Americas
Guadeloupe,Central America,Americas
Guam,Australasia,AustraliaAsia
Guatemala,Central America,Americas
Guernsey,Northern Europe,Europe
Guinea,Western Africa,Africa
Guinea-Bissau,Western Africa,Africa
Guyana,South America,Americas
Haiti,Central America,Americas
Heard and McDonald Islands,Australasia,AustraliaAsia
Honduras,Central America,Americas
Hong Kong,Eastern Asia,AustraliaAsia
Hungary,Eastern Europe,Europe
Iceland,Northern Europe,Europe
India,Southern Asia,AustraliaAsia
Indonesia,South-Eastern Asia,AustraliaAsia
Iran,Southern Asia,AustraliaAsia
Iraq,MiddleEast-NonGCC,MENonGCC
"Ireland, Republic of",Northern Europe,Europe
Isle of Man,Northern Europe,Europe
Italy,Southern Europe,Europe
Jamaica,Central America,Americas
Japan,Eastern Asia,AustraliaAsia
Jersey,Northern Europe,Europe
Jordan,MiddleEast-NonGCC,MENonGCC
Kazakhstan,Central Asia,AustraliaAsia
Kenya,Eastern Africa,Africa
Kiribati,Australasia,AustraliaAsia
"Korea, Democratic People's Republic of",Eastern Asia,AustraliaAsia
"Korea, Republic Of",Eastern Asia,AustraliaAsia
Kosovo,Southern Europe,Europe
Kuwait,MiddleEast-GCC,MEGCC
Kyrgyzstan,Central Asia,AustraliaAsia
Laos,South-Eastern Asia,AustraliaAsia
Latvia,Northern Europe,Europe
Lebanon,MiddleEast-NonGCC,MENonGCC
Lesotho,Southern Africa,Africa
Liberia,Western Africa,Africa
Libya,Northern Africa,Africa
Liechtenstein,Western Europe,Europe
Lithuania,Northern Europe,Europe
Luxembourg,Western Europe,Europe
Macau,Eastern Asia,AustraliaAsia
Macedonia,Southern Europe,Europe
Madagascar,Eastern Africa,Africa
Malawi,Eastern Africa,Africa
Malaysia,South-Eastern Asia,AustraliaAsia
Maldives,Southern Asia,AustraliaAsia
Mali,Western Africa,Africa
Malta,Southern Europe,Europe
Marshall Islands,Australasia,AustraliaAsia
Martinique,Central America,Americas
Mauritania,Western Africa,Africa
Mauritius,Eastern Africa,Africa
Mayotte,Eastern Africa,Africa
Mexico,Central America,Americas
Micronesia,Australasia,AustraliaAsia
Moldova,Eastern Europe,Europe
Monaco,Southern Europe,Europe
Mongolia,Eastern Asia,AustraliaAsia
Montenegro,Southern Europe,Europe
Montserrat,Central America,Americas
Morocco,Northern Africa,Africa
Mozambique,Eastern Africa,Africa
Myanmar,South-Eastern Asia,AustraliaAsia
Namibia,Southern Africa,Africa
Nauru,Australasia,AustraliaAsia
Nepal,Southern Asia,AustraliaAsia
Netherlands,Western Europe,Europe
Netherlands Antilles,Western Europe,Europe
New Caledonia,Australasia,AustraliaAsia
New Zealand,Australasia,AustraliaAsia
Nicaragua,Central America,Americas
Niger,Western Africa,Africa
Nigeria,Western Africa,Africa
Niue,Australasia,AustraliaAsia
Norfolk Island,Australasia,AustraliaAsia
Northern Mariana Islands,Australasia,AustraliaAsia
Norway,Northern Europe,Europe
Oman,MiddleEast-GCC,MEGCC
Pakistan,Southern Asia,AustraliaAsia
Palau,Australasia,AustraliaAsia
Palestine,MiddleEast-NonGCC,MENonGCC
Panama,Central America,Americas
Papua New Guinea,Australasia,AustraliaAsia
Paraguay,South America,Americas
Peru,South America,Americas
Philippines,South-Eastern Asia,AustraliaAsia
Pitcairn Islands,Australasia,AustraliaAsia
Poland,Eastern Europe,Europe
Portugal,Southern Europe,Europe
Puerto Rico,Central America,Americas
Qatar,MiddleEast-GCC,MEGCC
Reunion,Eastern Africa,Africa
Romania,Eastern Europe,Europe
Russian Federation,Eastern Europe,Europe
Rwanda,Eastern Africa,Africa
Saint Barthélemy,Central America,Americas
Saint Helena,Southern Africa,Africa
Saint Kitts & Nevis,Central America,Americas
Saint Lucia,Central America,Americas
Saint Martin (France),Western Europe,Europe
Saint Martin (Netherlands),Western Europe,Europe
Saint Pierre & Miquelon,Northern America,Americas
Saint Vincent and Grenadines,Central America,Americas
Samoa,Australasia,AustraliaAsia
San Marino,Southern Europe,Europe
Sao Tome and Príncipe,Middle Africa,Africa
Saudi Arabia,MiddleEast-GCC,MEGCC
Senegal,Western Africa,Africa
Serbia,Southern Europe,Europe
Seychelles,Eastern Africa,Africa
Sierra Leone,Western Africa,Africa
Singapore,South-Eastern Asia,AustraliaAsia
Slovakia,Eastern Europe,Europe
Slovenia,Southern Europe,Europe
Solomon Islands,Australasia,AustraliaAsia
Somalia,Eastern Africa,Africa
South Africa,Southern Africa,Africa
South Georgia and the South Sandwich Islands,South America,Americas
South Sudan,Eastern Africa,Africa
Spain,Southern Europe,Europe
Sri Lanka,Southern Asia,AustraliaAsia
Sudan,Eastern Africa,Africa
Suriname,South America,Americas
Svalbard and Jan Mayen Islands,Northern Europe,Europe
Swaziland,Southern Africa,Africa
Sweden,Northern Europe,Europe
Switzerland,Western Europe,Europe
Syria,MiddleEast-NonGCC,MENonGCC
Taiwan,Eastern Asia,AustraliaAsia
Tajikistan,Central Asia,AustraliaAsia
Tanzania,Eastern Africa,Africa
Thailand,South-Eastern Asia,AustraliaAsia
Timor-Leste,South-Eastern Asia,AustraliaAsia
Togo,Western Africa,Africa
Tokelau,Australasia,AustraliaAsia
Tonga,Australasia,AustraliaAsia
Trinidad & Tobago,Central America,Americas
Tunisia,Northern Africa,Africa
Turkey,MiddleEast-NonGCC,MENonGCC
Turkmenistan,Central Asia,AustraliaAsia
Turks and Caicos Islands,Central America,Americas
Tuvalu,Australasia,AustraliaAsia
Uganda,Eastern Africa,Africa
Ukraine,Eastern Europe,Europe
Union of the Comoros,Eastern Africa,Africa
United Kingdom,Northern Europe,Europe
United States Minor Outlying Islands,Northern America,Americas
United States of America,Northern America,Americas
Uruguay,South America,Americas
Uzbekistan,Central Asia,AustraliaAsia
Vanuatu,Australasia,AustraliaAsia
Vatican City,Southern Europe,Europe
Venezuela,South America,Americas
Vietnam,South-Eastern Asia,AustraliaAsia
Virgin Islands (British),South America,Americas
Virgin Islands (U.S.),Central America,Americas
Wallis & Futuna,Australasia,AustraliaAsia
Yemen,MiddleEast-NonGCC,MENonGCC
Zambia,Eastern Africa,Africa
Zimbabwe,Eastern Africa,Africa
